split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,hepaticvessel_001_34_CT_liver_vessel.png,"(512, 512)",1612,"(524, 440, 227, 249)",3
train,hepaticvessel_001_35_CT_liver_vessel.png,"(512, 512)",1312,"(540, 474, 217, 211)",2
train,hepaticvessel_001_36_CT_liver_vessel.png,"(512, 512)",1160,"(540, 476, 219, 149)",2
train,hepaticvessel_002_24_CT_liver_vessel.png,"(512, 512)",684,"(774, 562, 73, 93)",1
train,hepaticvessel_002_25_CT_liver_vessel.png,"(512, 512)",640,"(784, 568, 61, 83)",1
train,hepaticvessel_002_29_CT_liver_vessel.png,"(512, 512)",668,"(758, 534, 91, 203)",1
train,hepaticvessel_002_30_CT_liver_vessel.png,"(512, 512)",844,"(756, 524, 93, 209)",1
train,hepaticvessel_002_31_CT_liver_vessel.png,"(512, 512)",1040,"(756, 526, 91, 207)",1
train,hepaticvessel_002_32_CT_liver_vessel.png,"(512, 512)",1192,"(718, 528, 127, 201)",1
train,hepaticvessel_002_33_CT_liver_vessel.png,"(512, 512)",1552,"(596, 526, 251, 203)",2
train,hepaticvessel_002_34_CT_liver_vessel.png,"(512, 512)",3520,"(596, 524, 251, 205)",5
train,hepaticvessel_002_35_CT_liver_vessel.png,"(512, 512)",4560,"(596, 524, 251, 211)",7
train,hepaticvessel_002_36_CT_liver_vessel.png,"(512, 512)",4056,"(598, 488, 249, 247)",6
train,hepaticvessel_002_37_CT_liver_vessel.png,"(512, 512)",4444,"(622, 488, 223, 255)",7
train,hepaticvessel_002_38_CT_liver_vessel.png,"(512, 512)",4372,"(622, 488, 223, 255)",7
train,hepaticvessel_002_39_CT_liver_vessel.png,"(512, 512)",4404,"(618, 494, 193, 249)",7
train,hepaticvessel_002_40_CT_liver_vessel.png,"(512, 512)",6032,"(590, 492, 239, 251)",9
train,hepaticvessel_002_41_CT_liver_vessel.png,"(512, 512)",5872,"(580, 494, 243, 249)",9
train,hepaticvessel_002_42_CT_liver_vessel.png,"(512, 512)",5584,"(584, 498, 225, 245)",9
train,hepaticvessel_002_43_CT_liver_vessel.png,"(512, 512)",6008,"(580, 496, 179, 247)",9
train,hepaticvessel_002_44_CT_liver_vessel.png,"(512, 512)",5716,"(558, 494, 201, 249)",9
train,hepaticvessel_002_45_CT_liver_vessel.png,"(512, 512)",6084,"(554, 474, 207, 285)",10
train,hepaticvessel_002_46_CT_liver_vessel.png,"(512, 512)",4424,"(554, 474, 205, 283)",7
train,hepaticvessel_002_47_CT_liver_vessel.png,"(512, 512)",3776,"(556, 478, 177, 277)",6
train,hepaticvessel_002_48_CT_liver_vessel.png,"(512, 512)",4076,"(552, 478, 183, 215)",6
train,hepaticvessel_002_49_CT_liver_vessel.png,"(512, 512)",4784,"(546, 476, 193, 205)",7
train,hepaticvessel_002_50_CT_liver_vessel.png,"(512, 512)",4916,"(556, 494, 177, 167)",8
train,hepaticvessel_002_50_CT_liver_tumor.png,"(512, 512)",884,"(678, 606, 35, 31)",1
train,hepaticvessel_002_51_CT_liver_vessel.png,"(512, 512)",3768,"(556, 502, 189, 135)",6
train,hepaticvessel_002_51_CT_liver_tumor.png,"(512, 512)",3956,"(654, 572, 75, 67)",5
train,hepaticvessel_002_52_CT_liver_vessel.png,"(512, 512)",2552,"(556, 514, 117, 123)",4
train,hepaticvessel_002_52_CT_liver_tumor.png,"(512, 512)",6248,"(650, 552, 87, 95)",8
train,hepaticvessel_002_53_CT_liver_vessel.png,"(512, 512)",1960,"(596, 526, 71, 113)",3
train,hepaticvessel_002_53_CT_liver_tumor.png,"(512, 512)",7124,"(646, 550, 95, 95)",10
train,hepaticvessel_002_54_CT_liver_vessel.png,"(512, 512)",1276,"(596, 536, 63, 43)",2
train,hepaticvessel_002_54_CT_liver_tumor.png,"(512, 512)",6604,"(648, 554, 93, 89)",9
train,hepaticvessel_002_55_CT_liver_vessel.png,"(512, 512)",1060,"(598, 546, 55, 37)",1
train,hepaticvessel_002_55_CT_liver_tumor.png,"(512, 512)",5856,"(652, 558, 87, 83)",8
train,hepaticvessel_002_56_CT_liver_tumor.png,"(512, 512)",4052,"(662, 570, 71, 71)",5
train,hepaticvessel_004_12_CT_liver_vessel.png,"(512, 512)",556,"(544, 484, 195, 55)",1
train,hepaticvessel_004_13_CT_liver_vessel.png,"(512, 512)",644,"(532, 472, 209, 65)",1
train,hepaticvessel_004_14_CT_liver_vessel.png,"(512, 512)",800,"(530, 480, 213, 55)",1
train,hepaticvessel_004_15_CT_liver_vessel.png,"(512, 512)",1220,"(532, 414, 207, 113)",2
train,hepaticvessel_004_16_CT_liver_vessel.png,"(512, 512)",1532,"(532, 416, 197, 111)",3
train,hepaticvessel_004_17_CT_liver_vessel.png,"(512, 512)",1652,"(532, 424, 215, 109)",3
train,hepaticvessel_004_18_CT_liver_vessel.png,"(512, 512)",1504,"(532, 432, 199, 167)",3
train,hepaticvessel_004_19_CT_liver_vessel.png,"(512, 512)",1700,"(536, 352, 183, 247)",3
train,hepaticvessel_004_20_CT_liver_vessel.png,"(512, 512)",1864,"(538, 356, 177, 241)",4
train,hepaticvessel_004_21_CT_liver_vessel.png,"(512, 512)",2704,"(538, 358, 197, 239)",6
train,hepaticvessel_004_21_CT_liver_tumor.png,"(512, 512)",4216,"(496, 596, 85, 65)",3
train,hepaticvessel_004_22_CT_liver_vessel.png,"(512, 512)",3364,"(538, 348, 189, 277)",7
train,hepaticvessel_004_22_CT_liver_tumor.png,"(512, 512)",5844,"(494, 586, 97, 79)",5
train,hepaticvessel_004_23_CT_liver_vessel.png,"(512, 512)",4300,"(536, 360, 215, 267)",10
train,hepaticvessel_004_23_CT_liver_tumor.png,"(512, 512)",9048,"(486, 562, 109, 111)",8
train,hepaticvessel_004_24_CT_liver_vessel.png,"(512, 512)",3192,"(534, 352, 197, 259)",7
train,hepaticvessel_004_24_CT_liver_tumor.png,"(512, 512)",10184,"(482, 560, 111, 131)",9
train,hepaticvessel_004_25_CT_liver_vessel.png,"(512, 512)",3588,"(536, 348, 195, 249)",8
train,hepaticvessel_004_25_CT_liver_tumor.png,"(512, 512)",11132,"(480, 558, 115, 139)",10
train,hepaticvessel_004_26_CT_liver_vessel.png,"(512, 512)",4204,"(536, 410, 193, 205)",9
train,hepaticvessel_004_26_CT_liver_tumor.png,"(512, 512)",10828,"(478, 556, 115, 139)",9
train,hepaticvessel_004_27_CT_liver_vessel.png,"(512, 512)",2004,"(588, 398, 115, 247)",4
train,hepaticvessel_004_27_CT_liver_tumor.png,"(512, 512)",10060,"(480, 564, 111, 129)",9
train,hepaticvessel_004_28_CT_liver_vessel.png,"(512, 512)",2472,"(580, 368, 121, 253)",5
train,hepaticvessel_004_28_CT_liver_tumor.png,"(512, 512)",9664,"(482, 564, 105, 123)",8
train,hepaticvessel_004_29_CT_liver_vessel.png,"(512, 512)",2820,"(550, 372, 147, 217)",6
train,hepaticvessel_004_29_CT_liver_tumor.png,"(512, 512)",7284,"(496, 568, 87, 109)",6
train,hepaticvessel_004_30_CT_liver_vessel.png,"(512, 512)",2332,"(558, 414, 161, 153)",5
train,hepaticvessel_004_30_CT_liver_tumor.png,"(512, 512)",5056,"(500, 572, 79, 93)",4
train,hepaticvessel_004_31_CT_liver_vessel.png,"(512, 512)",1500,"(532, 402, 211, 165)",3
train,hepaticvessel_004_32_CT_liver_vessel.png,"(512, 512)",568,"(532, 392, 203, 157)",1
train,hepaticvessel_005_12_CT_liver_tumor.png,"(512, 512)",1868,"(612, 530, 51, 45)",1
train,hepaticvessel_005_13_CT_liver_tumor.png,"(512, 512)",4872,"(606, 514, 77, 77)",4
train,hepaticvessel_005_14_CT_liver_tumor.png,"(512, 512)",7492,"(598, 504, 95, 99)",7
train,hepaticvessel_005_15_CT_liver_tumor.png,"(512, 512)",9320,"(594, 498, 105, 107)",8
train,hepaticvessel_005_16_CT_liver_vessel.png,"(512, 512)",980,"(504, 538, 229, 83)",2
train,hepaticvessel_005_16_CT_liver_tumor.png,"(512, 512)",10452,"(592, 494, 111, 115)",10
train,hepaticvessel_005_17_CT_liver_vessel.png,"(512, 512)",864,"(508, 538, 225, 73)",2
train,hepaticvessel_005_17_CT_liver_tumor.png,"(512, 512)",10248,"(590, 496, 113, 113)",9
train,hepaticvessel_005_18_CT_liver_vessel.png,"(512, 512)",1092,"(508, 534, 227, 111)",2
train,hepaticvessel_005_18_CT_liver_tumor.png,"(512, 512)",7748,"(602, 500, 97, 99)",7
train,hepaticvessel_005_19_CT_liver_vessel.png,"(512, 512)",1396,"(504, 486, 205, 159)",3
train,hepaticvessel_005_19_CT_liver_tumor.png,"(512, 512)",5996,"(604, 506, 87, 91)",5
train,hepaticvessel_005_20_CT_liver_vessel.png,"(512, 512)",1616,"(504, 484, 179, 169)",3
train,hepaticvessel_005_20_CT_liver_tumor.png,"(512, 512)",4272,"(610, 504, 73, 73)",4
train,hepaticvessel_005_21_CT_liver_vessel.png,"(512, 512)",1916,"(504, 474, 171, 171)",4
train,hepaticvessel_005_22_CT_liver_vessel.png,"(512, 512)",2744,"(504, 478, 217, 161)",6
train,hepaticvessel_005_23_CT_liver_vessel.png,"(512, 512)",4300,"(504, 454, 209, 173)",10
train,hepaticvessel_005_24_CT_liver_vessel.png,"(512, 512)",3996,"(504, 458, 207, 157)",9
train,hepaticvessel_005_25_CT_liver_vessel.png,"(512, 512)",3620,"(504, 456, 199, 157)",8
train,hepaticvessel_005_26_CT_liver_vessel.png,"(512, 512)",2188,"(504, 456, 177, 159)",5
train,hepaticvessel_005_27_CT_liver_vessel.png,"(512, 512)",2280,"(504, 488, 185, 169)",5
train,hepaticvessel_005_28_CT_liver_vessel.png,"(512, 512)",2892,"(486, 488, 191, 169)",6
train,hepaticvessel_005_29_CT_liver_vessel.png,"(512, 512)",2376,"(488, 492, 171, 165)",5
train,hepaticvessel_005_30_CT_liver_vessel.png,"(512, 512)",1784,"(488, 496, 159, 153)",4
train,hepaticvessel_005_31_CT_liver_vessel.png,"(512, 512)",1728,"(466, 536, 181, 75)",4
train,hepaticvessel_005_32_CT_liver_vessel.png,"(512, 512)",736,"(498, 542, 149, 61)",1
train,hepaticvessel_005_33_CT_liver_vessel.png,"(512, 512)",640,"(374, 554, 275, 101)",1
train,hepaticvessel_005_34_CT_liver_vessel.png,"(512, 512)",2284,"(364, 534, 179, 135)",5
train,hepaticvessel_005_35_CT_liver_vessel.png,"(512, 512)",2208,"(368, 534, 177, 133)",5
train,hepaticvessel_005_36_CT_liver_vessel.png,"(512, 512)",940,"(504, 534, 39, 33)",2
train,hepaticvessel_005_37_CT_liver_vessel.png,"(512, 512)",1032,"(504, 530, 35, 37)",2
train,hepaticvessel_005_38_CT_liver_vessel.png,"(512, 512)",1032,"(504, 530, 31, 37)",2
train,hepaticvessel_005_39_CT_liver_vessel.png,"(512, 512)",1048,"(504, 530, 35, 37)",2
train,hepaticvessel_007_17_CT_liver_vessel.png,"(512, 512)",644,"(696, 460, 107, 205)",1
train,hepaticvessel_007_18_CT_liver_vessel.png,"(512, 512)",592,"(690, 458, 113, 281)",1
train,hepaticvessel_007_19_CT_liver_vessel.png,"(512, 512)",1464,"(536, 496, 263, 239)",3
train,hepaticvessel_007_19_CT_liver_tumor.png,"(512, 512)",4940,"(494, 650, 83, 79)",1
train,hepaticvessel_007_20_CT_liver_vessel.png,"(512, 512)",1476,"(586, 492, 215, 243)",3
train,hepaticvessel_007_20_CT_liver_tumor.png,"(512, 512)",13128,"(472, 592, 117, 155)",2
train,hepaticvessel_007_21_CT_liver_vessel.png,"(512, 512)",1232,"(608, 492, 179, 241)",2
train,hepaticvessel_007_21_CT_liver_tumor.png,"(512, 512)",21800,"(456, 570, 155, 189)",4
train,hepaticvessel_007_22_CT_liver_vessel.png,"(512, 512)",1048,"(614, 490, 177, 239)",2
train,hepaticvessel_007_22_CT_liver_tumor.png,"(512, 512)",28532,"(450, 550, 195, 219)",5
train,hepaticvessel_007_23_CT_liver_vessel.png,"(512, 512)",1360,"(628, 492, 151, 235)",2
train,hepaticvessel_007_23_CT_liver_tumor.png,"(512, 512)",33988,"(436, 536, 203, 239)",6
train,hepaticvessel_007_24_CT_liver_vessel.png,"(512, 512)",1452,"(632, 492, 141, 249)",3
train,hepaticvessel_007_24_CT_liver_tumor.png,"(512, 512)",37928,"(428, 530, 213, 247)",7
train,hepaticvessel_007_25_CT_liver_vessel.png,"(512, 512)",2072,"(644, 504, 121, 237)",4
train,hepaticvessel_007_25_CT_liver_tumor.png,"(512, 512)",40480,"(418, 528, 223, 251)",8
train,hepaticvessel_007_26_CT_liver_vessel.png,"(512, 512)",2908,"(648, 484, 171, 255)",6
train,hepaticvessel_007_26_CT_liver_tumor.png,"(512, 512)",42576,"(410, 528, 233, 253)",8
train,hepaticvessel_007_27_CT_liver_vessel.png,"(512, 512)",2948,"(648, 484, 169, 253)",6
train,hepaticvessel_007_27_CT_liver_tumor.png,"(512, 512)",44956,"(402, 526, 247, 255)",9
train,hepaticvessel_007_28_CT_liver_vessel.png,"(512, 512)",2988,"(638, 484, 181, 253)",6
train,hepaticvessel_007_28_CT_liver_tumor.png,"(512, 512)",48404,"(394, 510, 259, 271)",9
train,hepaticvessel_007_29_CT_liver_vessel.png,"(512, 512)",2876,"(630, 480, 191, 275)",6
train,hepaticvessel_007_29_CT_liver_tumor.png,"(512, 512)",48828,"(390, 534, 263, 245)",10
train,hepaticvessel_007_30_CT_liver_vessel.png,"(512, 512)",1620,"(616, 524, 205, 243)",3
train,hepaticvessel_007_30_CT_liver_tumor.png,"(512, 512)",48456,"(386, 536, 261, 241)",9
train,hepaticvessel_007_31_CT_liver_vessel.png,"(512, 512)",1968,"(604, 518, 149, 253)",4
train,hepaticvessel_007_31_CT_liver_tumor.png,"(512, 512)",45296,"(388, 536, 255, 239)",9
train,hepaticvessel_007_32_CT_liver_vessel.png,"(512, 512)",1664,"(596, 494, 187, 283)",3
train,hepaticvessel_007_32_CT_liver_tumor.png,"(512, 512)",44184,"(390, 514, 249, 257)",9
train,hepaticvessel_007_33_CT_liver_vessel.png,"(512, 512)",1700,"(590, 468, 197, 311)",3
train,hepaticvessel_007_33_CT_liver_tumor.png,"(512, 512)",41512,"(394, 510, 235, 255)",8
train,hepaticvessel_007_34_CT_liver_vessel.png,"(512, 512)",1716,"(550, 468, 215, 311)",3
train,hepaticvessel_007_34_CT_liver_tumor.png,"(512, 512)",36332,"(400, 500, 215, 261)",7
train,hepaticvessel_007_35_CT_liver_vessel.png,"(512, 512)",1416,"(550, 468, 213, 219)",3
train,hepaticvessel_007_35_CT_liver_tumor.png,"(512, 512)",31020,"(404, 562, 211, 195)",6
train,hepaticvessel_007_36_CT_liver_vessel.png,"(512, 512)",3028,"(550, 450, 225, 235)",6
train,hepaticvessel_007_36_CT_liver_tumor.png,"(512, 512)",22964,"(414, 590, 177, 157)",4
train,hepaticvessel_007_37_CT_liver_vessel.png,"(512, 512)",4588,"(542, 478, 249, 281)",10
train,hepaticvessel_007_37_CT_liver_tumor.png,"(512, 512)",22160,"(418, 574, 169, 173)",4
train,hepaticvessel_007_38_CT_liver_vessel.png,"(512, 512)",4364,"(552, 506, 211, 209)",9
train,hepaticvessel_007_38_CT_liver_tumor.png,"(512, 512)",14568,"(440, 592, 139, 135)",2
train,hepaticvessel_007_39_CT_liver_vessel.png,"(512, 512)",3092,"(552, 498, 219, 179)",6
train,hepaticvessel_007_39_CT_liver_tumor.png,"(512, 512)",5156,"(480, 626, 81, 81)",1
train,hepaticvessel_008_21_CT_liver_vessel.png,"(512, 512)",1172,"(534, 478, 201, 193)",1
train,hepaticvessel_008_22_CT_liver_vessel.png,"(512, 512)",1768,"(532, 476, 201, 213)",2
train,hepaticvessel_008_23_CT_liver_vessel.png,"(512, 512)",2124,"(532, 450, 227, 237)",2
train,hepaticvessel_008_24_CT_liver_vessel.png,"(512, 512)",2480,"(458, 450, 291, 239)",3
train,hepaticvessel_008_25_CT_liver_vessel.png,"(512, 512)",2348,"(458, 454, 279, 233)",3
train,hepaticvessel_008_26_CT_liver_vessel.png,"(512, 512)",2368,"(468, 458, 259, 227)",3
train,hepaticvessel_008_26_CT_liver_tumor.png,"(512, 512)",392,"(552, 640, 29, 17)",2
train,hepaticvessel_008_27_CT_liver_vessel.png,"(512, 512)",2668,"(470, 446, 251, 247)",3
train,hepaticvessel_008_27_CT_liver_tumor.png,"(512, 512)",596,"(548, 640, 35, 21)",3
train,hepaticvessel_008_28_CT_liver_vessel.png,"(512, 512)",3068,"(474, 454, 263, 235)",4
train,hepaticvessel_008_28_CT_liver_tumor.png,"(512, 512)",1324,"(548, 634, 41, 41)",7
train,hepaticvessel_008_29_CT_liver_vessel.png,"(512, 512)",5252,"(478, 474, 259, 217)",6
train,hepaticvessel_008_29_CT_liver_tumor.png,"(512, 512)",1676,"(548, 632, 43, 49)",10
train,hepaticvessel_008_30_CT_liver_vessel.png,"(512, 512)",7540,"(458, 458, 267, 233)",10
train,hepaticvessel_008_30_CT_liver_tumor.png,"(512, 512)",1528,"(552, 632, 39, 51)",9
train,hepaticvessel_008_31_CT_liver_vessel.png,"(512, 512)",4468,"(432, 440, 285, 239)",5
train,hepaticvessel_008_31_CT_liver_tumor.png,"(512, 512)",460,"(560, 634, 23, 23)",2
train,hepaticvessel_008_32_CT_liver_vessel.png,"(512, 512)",4196,"(442, 426, 295, 247)",5
train,hepaticvessel_008_33_CT_liver_vessel.png,"(512, 512)",3980,"(446, 460, 261, 223)",5
train,hepaticvessel_008_34_CT_liver_vessel.png,"(512, 512)",4104,"(450, 476, 257, 209)",5
train,hepaticvessel_008_35_CT_liver_vessel.png,"(512, 512)",3560,"(516, 486, 189, 195)",4
train,hepaticvessel_008_36_CT_liver_vessel.png,"(512, 512)",3384,"(542, 490, 165, 195)",4
train,hepaticvessel_008_37_CT_liver_vessel.png,"(512, 512)",3712,"(546, 496, 163, 193)",4
train,hepaticvessel_008_38_CT_liver_vessel.png,"(512, 512)",2344,"(536, 502, 177, 193)",3
train,hepaticvessel_010_5_CT_liver_tumor.png,"(512, 512)",1640,"(688, 586, 49, 45)",1
train,hepaticvessel_010_6_CT_liver_tumor.png,"(512, 512)",2964,"(676, 584, 67, 57)",3
train,hepaticvessel_010_7_CT_liver_tumor.png,"(512, 512)",5312,"(674, 546, 73, 101)",6
train,hepaticvessel_010_8_CT_liver_tumor.png,"(512, 512)",7272,"(666, 540, 85, 111)",8
train,hepaticvessel_010_9_CT_liver_tumor.png,"(512, 512)",8336,"(660, 538, 93, 117)",9
train,hepaticvessel_010_10_CT_liver_tumor.png,"(512, 512)",8596,"(656, 536, 97, 125)",10
train,hepaticvessel_010_11_CT_liver_tumor.png,"(512, 512)",7820,"(658, 540, 91, 121)",9
train,hepaticvessel_010_12_CT_liver_tumor.png,"(512, 512)",4272,"(668, 578, 79, 67)",4
train,hepaticvessel_010_13_CT_liver_vessel.png,"(512, 512)",480,"(652, 638, 63, 47)",1
train,hepaticvessel_010_13_CT_liver_tumor.png,"(512, 512)",3008,"(670, 586, 71, 53)",3
train,hepaticvessel_010_14_CT_liver_vessel.png,"(512, 512)",1200,"(636, 578, 109, 115)",2
train,hepaticvessel_010_15_CT_liver_vessel.png,"(512, 512)",424,"(516, 582, 227, 133)",1
train,hepaticvessel_010_17_CT_liver_vessel.png,"(512, 512)",496,"(478, 526, 279, 185)",1
train,hepaticvessel_010_18_CT_liver_vessel.png,"(512, 512)",748,"(468, 518, 281, 191)",1
train,hepaticvessel_010_19_CT_liver_vessel.png,"(512, 512)",548,"(452, 518, 295, 189)",1
train,hepaticvessel_010_20_CT_liver_vessel.png,"(512, 512)",648,"(458, 508, 287, 197)",1
train,hepaticvessel_010_21_CT_liver_vessel.png,"(512, 512)",952,"(436, 508, 297, 193)",2
train,hepaticvessel_010_22_CT_liver_vessel.png,"(512, 512)",1164,"(434, 500, 293, 201)",2
train,hepaticvessel_010_23_CT_liver_vessel.png,"(512, 512)",1092,"(436, 472, 309, 231)",2
train,hepaticvessel_010_24_CT_liver_vessel.png,"(512, 512)",1032,"(436, 474, 299, 231)",2
train,hepaticvessel_010_25_CT_liver_vessel.png,"(512, 512)",1264,"(438, 480, 291, 223)",3
train,hepaticvessel_010_26_CT_liver_vessel.png,"(512, 512)",3300,"(442, 472, 289, 215)",8
train,hepaticvessel_010_27_CT_liver_vessel.png,"(512, 512)",3308,"(444, 462, 321, 221)",8
train,hepaticvessel_010_28_CT_liver_vessel.png,"(512, 512)",2328,"(402, 460, 325, 231)",5
train,hepaticvessel_010_29_CT_liver_vessel.png,"(512, 512)",4064,"(404, 444, 329, 249)",10
train,hepaticvessel_010_30_CT_liver_vessel.png,"(512, 512)",2900,"(396, 444, 311, 247)",7
train,hepaticvessel_010_31_CT_liver_vessel.png,"(512, 512)",2716,"(402, 444, 281, 241)",6
train,hepaticvessel_010_32_CT_liver_vessel.png,"(512, 512)",1836,"(402, 514, 265, 185)",4
train,hepaticvessel_010_33_CT_liver_vessel.png,"(512, 512)",2160,"(400, 508, 267, 197)",5
train,hepaticvessel_010_34_CT_liver_vessel.png,"(512, 512)",2548,"(396, 480, 295, 223)",6
train,hepaticvessel_010_35_CT_liver_vessel.png,"(512, 512)",3588,"(428, 502, 249, 201)",8
train,hepaticvessel_010_36_CT_liver_vessel.png,"(512, 512)",2708,"(430, 498, 253, 189)",6
train,hepaticvessel_010_37_CT_liver_vessel.png,"(512, 512)",2588,"(424, 522, 253, 177)",6
train,hepaticvessel_010_38_CT_liver_vessel.png,"(512, 512)",1416,"(470, 520, 201, 141)",3
train,hepaticvessel_010_39_CT_liver_vessel.png,"(512, 512)",848,"(500, 538, 163, 85)",2
train,hepaticvessel_011_14_CT_liver_vessel.png,"(512, 512)",932,"(752, 358, 73, 239)",1
train,hepaticvessel_011_16_CT_liver_vessel.png,"(512, 512)",940,"(712, 332, 115, 255)",1
train,hepaticvessel_011_17_CT_liver_vessel.png,"(512, 512)",1388,"(706, 330, 105, 279)",1
train,hepaticvessel_011_18_CT_liver_vessel.png,"(512, 512)",1900,"(664, 334, 155, 309)",2
train,hepaticvessel_011_19_CT_liver_vessel.png,"(512, 512)",2328,"(572, 336, 243, 309)",2
train,hepaticvessel_011_20_CT_liver_vessel.png,"(512, 512)",4168,"(546, 308, 269, 339)",4
train,hepaticvessel_011_20_CT_liver_tumor.png,"(512, 512)",2840,"(620, 570, 65, 57)",9
train,hepaticvessel_011_21_CT_liver_vessel.png,"(512, 512)",5756,"(490, 322, 323, 343)",6
train,hepaticvessel_011_21_CT_liver_tumor.png,"(512, 512)",2884,"(616, 568, 87, 53)",10
train,hepaticvessel_011_22_CT_liver_vessel.png,"(512, 512)",6836,"(492, 314, 315, 347)",8
train,hepaticvessel_011_22_CT_liver_tumor.png,"(512, 512)",2116,"(634, 568, 57, 51)",7
train,hepaticvessel_011_23_CT_liver_vessel.png,"(512, 512)",7532,"(504, 332, 291, 311)",9
train,hepaticvessel_011_23_CT_liver_tumor.png,"(512, 512)",1260,"(646, 568, 39, 45)",4
train,hepaticvessel_011_24_CT_liver_vessel.png,"(512, 512)",7972,"(510, 332, 289, 305)",9
train,hepaticvessel_011_24_CT_liver_tumor.png,"(512, 512)",732,"(654, 568, 27, 35)",2
train,hepaticvessel_011_25_CT_liver_vessel.png,"(512, 512)",8356,"(488, 316, 313, 319)",10
train,hepaticvessel_011_26_CT_liver_vessel.png,"(512, 512)",6216,"(486, 328, 259, 301)",7
train,hepaticvessel_011_27_CT_liver_vessel.png,"(512, 512)",5252,"(472, 338, 257, 287)",6
train,hepaticvessel_011_28_CT_liver_vessel.png,"(512, 512)",6548,"(474, 338, 299, 259)",7
train,hepaticvessel_011_29_CT_liver_vessel.png,"(512, 512)",6684,"(468, 362, 279, 219)",7
train,hepaticvessel_011_30_CT_liver_vessel.png,"(512, 512)",3496,"(538, 390, 235, 179)",4
train,hepaticvessel_011_31_CT_liver_vessel.png,"(512, 512)",1544,"(554, 482, 173, 53)",1
train,hepaticvessel_013_9_CT_liver_vessel.png,"(512, 512)",768,"(646, 512, 163, 157)",1
train,hepaticvessel_013_10_CT_liver_vessel.png,"(512, 512)",992,"(644, 482, 175, 189)",1
train,hepaticvessel_013_11_CT_liver_vessel.png,"(512, 512)",1128,"(428, 524, 365, 153)",1
train,hepaticvessel_013_12_CT_liver_vessel.png,"(512, 512)",924,"(374, 530, 421, 153)",1
train,hepaticvessel_013_13_CT_liver_vessel.png,"(512, 512)",2584,"(382, 524, 433, 147)",4
train,hepaticvessel_013_14_CT_liver_vessel.png,"(512, 512)",1568,"(392, 446, 447, 225)",2
train,hepaticvessel_013_15_CT_liver_vessel.png,"(512, 512)",2828,"(340, 380, 483, 323)",4
train,hepaticvessel_013_16_CT_liver_vessel.png,"(512, 512)",4028,"(350, 382, 499, 323)",6
train,hepaticvessel_013_17_CT_liver_vessel.png,"(512, 512)",3376,"(360, 382, 423, 323)",5
train,hepaticvessel_013_18_CT_liver_vessel.png,"(512, 512)",5252,"(368, 348, 445, 353)",8
train,hepaticvessel_013_19_CT_liver_vessel.png,"(512, 512)",5224,"(380, 428, 493, 287)",8
train,hepaticvessel_013_20_CT_liver_vessel.png,"(512, 512)",5748,"(390, 388, 415, 327)",9
train,hepaticvessel_013_20_CT_liver_tumor.png,"(512, 512)",8672,"(764, 506, 151, 97)",2
train,hepaticvessel_013_21_CT_liver_vessel.png,"(512, 512)",6220,"(320, 412, 457, 301)",9
